alpha,space,cell_idx,kl_div,lipschitz
0.3,X,0,315.3721008300781,0.28458115458488464
0.3,X,1,1538.206298828125,1.0
0.3,X,2,331.1327209472656,0.4798170328140259
0.3,X,3,1569.8890380859375,1.0
0.3,X,4,272.4759216308594,1.0
0.3,X,5,1533.3485107421875,1.0
0.3,X,6,8.691232681274414,1.2642780542373657
0.3,X,7,312.2048645019531,0.4614584147930145
0.3,X,8,-5.0,-5.0
0.3,X,9,-5.0,-5.0
0.3,X,10,-5.0,-5.0
0.3,X,11,-5.0,-5.0
0.3,X,12,-5.0,-5.0
0.3,X,13,-5.0,-5.0
0.3,X,14,-5.0,-5.0
0.3,X,15,-5.0,-5.0
0.3,X,16,-5.0,-5.0
0.3,X,17,-5.0,-5.0
0.3,X,18,-5.0,-5.0
0.3,X,19,-5.0,-5.0
0.3,X,20,-5.0,-5.0
0.3,X,21,-5.0,-5.0
0.3,X,22,-5.0,-5.0
0.3,X,23,-5.0,-5.0
0.3,X,24,-5.0,-5.0
0.3,X,25,-5.0,-5.0
0.3,X,26,-5.0,-5.0
0.3,X,27,-5.0,-5.0
0.3,X,28,-5.0,-5.0
0.3,X,29,-5.0,-5.0
0.3,X,30,-5.0,-5.0
0.3,X,31,-5.0,-5.0
0.3,X,32,-5.0,-5.0
0.3,X,33,-5.0,-5.0
0.3,X,34,-5.0,-5.0
0.3,X,35,-5.0,-5.0
0.3,X,36,-5.0,-5.0
0.3,X,37,-5.0,-5.0
0.3,X,38,-5.0,-5.0
0.3,X,39,-5.0,-5.0
0.3,X,40,-5.0,-5.0
0.3,X,41,-5.0,-5.0
0.3,X,42,-5.0,-5.0
0.3,X,43,-5.0,-5.0
0.3,X,44,-5.0,-5.0
0.3,X,45,-5.0,-5.0
0.3,X,46,-5.0,-5.0
0.3,X,47,-5.0,-5.0
0.3,X,48,-5.0,-5.0
0.3,X,49,-5.0,-5.0
0.3,X,50,-5.0,-5.0
0.3,X,51,-5.0,-5.0
0.3,X,52,-5.0,-5.0
0.3,X,53,-5.0,-5.0
0.3,X,54,-5.0,-5.0
0.3,X,55,-5.0,-5.0
0.3,X,56,-5.0,-5.0
0.3,X,57,-5.0,-5.0
0.3,X,58,-5.0,-5.0
0.3,X,59,-5.0,-5.0
0.3,X,60,-5.0,-5.0
0.3,X,61,-5.0,-5.0
0.3,X,62,-5.0,-5.0
0.3,X,63,-5.0,-5.0
0.3,X,64,-5.0,-5.0
0.3,X,65,-5.0,-5.0
0.3,X,66,-5.0,-5.0
0.3,X,67,-5.0,-5.0
0.3,X,68,-5.0,-5.0
0.3,X,69,-5.0,-5.0
0.3,X,70,-5.0,-5.0
0.3,X,71,-5.0,-5.0
0.3,X,72,-5.0,-5.0
0.3,X,73,-5.0,-5.0
0.3,X,74,-5.0,-5.0
0.3,X,75,-5.0,-5.0
0.3,X,76,-5.0,-5.0
0.3,X,77,-5.0,-5.0
0.3,X,78,-5.0,-5.0
0.3,X,79,-5.0,-5.0
0.3,X,80,-5.0,-5.0
0.3,X,81,-5.0,-5.0
0.3,X,82,-5.0,-5.0
0.3,X,83,-5.0,-5.0
0.3,X,84,-5.0,-5.0
0.3,X,85,-5.0,-5.0
0.3,X,86,-5.0,-5.0
0.3,X,87,-5.0,-5.0
0.3,X,88,-5.0,-5.0
0.3,X,89,-5.0,-5.0
0.3,X,90,-5.0,-5.0
0.3,X,91,-5.0,-5.0
0.3,X,92,-5.0,-5.0
0.3,X,93,-5.0,-5.0
0.3,X,94,-5.0,-5.0
0.3,X,95,-5.0,-5.0
0.3,X,96,-5.0,-5.0
0.3,X,97,-5.0,-5.0
0.3,X,98,-5.0,-5.0
0.3,X,99,-5.0,-5.0
0.3,X,100,-5.0,-5.0
0.3,X,101,-5.0,-5.0
0.3,X,102,-5.0,-5.0
0.3,X,103,-5.0,-5.0
0.3,X,104,-5.0,-5.0
0.3,X,105,-5.0,-5.0
0.3,X,106,-5.0,-5.0
0.3,X,107,-5.0,-5.0
0.3,X,108,-5.0,-5.0
0.3,X,109,-5.0,-5.0
0.3,X,110,-5.0,-5.0
0.3,X,111,-5.0,-5.0
0.3,X,112,-5.0,-5.0
0.3,X,113,-5.0,-5.0
0.3,X,114,-5.0,-5.0
0.3,X,115,-5.0,-5.0
0.3,X,116,-5.0,-5.0
0.3,X,117,-5.0,-5.0
0.3,X,118,-5.0,-5.0
0.3,X,119,-5.0,-5.0
0.3,X,120,-5.0,-5.0
0.3,X,121,-5.0,-5.0
0.3,X,122,-5.0,-5.0
0.3,X,123,-5.0,-5.0
0.3,X,124,-5.0,-5.0
0.3,X,125,-5.0,-5.0
0.3,X,126,-5.0,-5.0
0.3,X,127,-5.0,-5.0
0.3,X,128,-5.0,-5.0
0.3,X,129,-5.0,-5.0
0.3,X,130,-5.0,-5.0
0.3,X,131,-5.0,-5.0
0.3,X,132,-5.0,-5.0
0.3,X,133,-5.0,-5.0
0.3,X,134,-5.0,-5.0
0.3,X,135,-5.0,-5.0
0.3,X,136,-5.0,-5.0
0.3,X,137,-5.0,-5.0
0.3,X,138,-5.0,-5.0
0.3,X,139,-5.0,-5.0
0.3,X,140,-5.0,-5.0
0.3,X,141,-5.0,-5.0
0.3,X,142,-5.0,-5.0
0.3,X,143,-5.0,-5.0
0.3,X,144,-5.0,-5.0
0.3,X,145,-5.0,-5.0
0.3,X,146,-5.0,-5.0
0.3,X,147,-5.0,-5.0
0.3,X,148,-5.0,-5.0
0.3,X,149,-5.0,-5.0
0.3,X,150,-5.0,-5.0
0.3,X,151,-5.0,-5.0
0.3,X,152,-5.0,-5.0
0.3,X,153,-5.0,-5.0
0.3,X,154,-5.0,-5.0
0.3,X,155,-5.0,-5.0
0.3,X,156,-5.0,-5.0
0.3,X,157,-5.0,-5.0
0.3,X,158,-5.0,-5.0
0.3,X,159,-5.0,-5.0
0.3,X,160,-5.0,-5.0
0.3,X,161,-5.0,-5.0
0.3,X,162,-5.0,-5.0
0.3,X,163,-5.0,-5.0
0.3,X,164,-5.0,-5.0
0.3,X,165,-5.0,-5.0
0.3,X,166,-5.0,-5.0
0.3,X,167,-5.0,-5.0
0.3,X,168,-5.0,-5.0
0.3,X,169,-5.0,-5.0
0.3,X,170,-5.0,-5.0
0.3,X,171,-5.0,-5.0
0.3,X,172,-5.0,-5.0
0.3,X,173,-5.0,-5.0
0.3,X,174,-5.0,-5.0
0.3,X,175,-5.0,-5.0
0.3,X,176,-5.0,-5.0
0.3,X,177,-5.0,-5.0
0.3,X,178,-5.0,-5.0
0.3,X,179,-5.0,-5.0
0.3,X,180,-5.0,-5.0
